"Bill of Material for "
"On 2019/3/1 at 16:26:40"

"Comment","Pattern","Quantity","Components"

"104","0603C","7","C1, C7, C8, C9, C11, C12, C18",""
"105","0603C","1","C16",""
"12M","XTAL3225","1","Y1","Crystal"
"22pF","0603C","2","C5, C6",""
"4.7K","0603R","1","R9",""
"BAT54WS","LC-SOD-323F","6","D3, D4, D6, D7, D8, D9",""
"C100uF","0805","2","C14, C41",""
"C10uF","0603C","3","C4, C13, C19",""
"C1uF","0603C","4","C3, C10, C15, C20",""
"C2.2nF","0603C","1","C2",""
"Head*4","NIUB-4P","1","P2",""
"Head2","HEAD2","1","P1",""
"KEY-PB","KEY_ALPS","1","K1",""
"LED","LED","5","D1, D2, D5, D10, D11",""
"Micro USB","MicroUSB","1","U5",""
"Motor","HEAD2","4","B1, B2, B3, B4","Motor, General Kind"
"MPU6050","QFN24-1","1","U3",""
"nrf","NRF_MINI","1","U6",""
"R1.5K","0603R","1","R5",""
"R100R","0603R","4","R14, R15, R16, R17",""
"R10K","0603R","9","R1, R2, R4, R7, R8, R20, R21, R22, R23",""
"R1K","0603R","1","R3",""
"R220","0603R","1","R6",""
"R2K","0603R","3","R10, R13, R18",""
"SI2302","SOT-23-3","4","Q1, Q2, Q3, Q4",""
"SP6201-adj","SOT23-5","2","SP1, SP2",""
"STM32F103C8T6","STM32C8T6","1","U1",""
"STM8F003-UQFN20","QFN20","1","U4",""
"TP","TEST_PAD","1","t1",""
"TP","TESTPOINT","3","t2, t3, t4",""
"Tp4059","LC-SOT-23-6","1","U2",""
