"Bill of Material for "
"On 2019/3/1 at 16:05:04"

"Comment","Pattern","Quantity","Components"

"12M","XTAL3225","1","Y1","Crystal"
"5K","0603R","1","R4",""
"C0.1uF","0603C","7","C4, C5, C6, C7, C11, C15, C17",""
"C100uF","CAP-T-3630","2","C13, C19",""
"C10uF","0603C","6","C1, C2, C3, C10, C12, C18",""
"C10uF","CAP-8.2-3","1","C120",""
"C1uF","0603C","2","C14, C16",""
"C22pF","0603R","2","C8, C9",""
"C470uF","CAP-6-2","1","C121",""
"head*3","HEAD-3P-2.0","5","P9, P10, P11, P12, P13",""
"head*3","KEY_SPE2","2","P4, P6",""
"head*3","SWITCH_3P","1","P7",""
"Head*4","Head4_SPE4","2","P1, P3",""
"Head2","BEEP","1","P8",""
"Head2","HEAD-2P-2.0","3","P2, P14, P15",""
"HEAD5","HEAD5_SPE5","1","P5",""
"KEY-PB","SW-DIP","4","K1, K2, K3, K4",""
"LED","LED","2","D1, D2",""
"NRF_PA","NRF_PA","1","U3",""
"R100R","0603R","1","R9",""
"R10K","0603R","5","R1, R5, R6, R7, R10",""
"R1K","0603R","4","R2, R3, R11, R12",""
"R2K","0603R","1","R8",""
"SI2302","SOT-23-3","1","Q1",""
"SP6201-adj","SOT23-5","2","SP1, SP2",""
"STM32F103C8T6","STM32C8T6","1","U2",""
"TP4056","SOP-8","1","U1",""
